libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Using CUDA device: NVIDIA RTX PRO 5000 Blackwell
GPU hybrid 2D Euler Config 3: nx=512, ny=512, adaptive CFL=0.05, tfinal=0.85, device=0
step= 36500, time=0.724904, dt=1.89274e-05, chunk=41.01 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 36750, time=0.729586, dt=1.88254e-05, chunk=41.02 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 37000, time=0.734291, dt=1.88074e-05, chunk=41.03 ms/step, avg=40.99 ms/step, pool=8.0/327.3 MiB
step= 37250, time=0.739009, dt=1.89367e-05, chunk=41.19 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 37500, time=0.743720, dt=1.87392e-05, chunk=41.01 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 37750, time=0.748392, dt=1.87930e-05, chunk=41.35 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 38000, time=0.753077, dt=1.88054e-05, chunk=41.12 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 38250, time=0.757771, dt=1.87526e-05, chunk=41.19 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 38500, time=0.762506, dt=1.91007e-05, chunk=41.00 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 38750, time=0.767400, dt=1.99347e-05, chunk=41.18 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 39000, time=0.772345, dt=1.96301e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 39250, time=0.777230, dt=1.95321e-05, chunk=41.19 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 39500, time=0.782114, dt=1.95259e-05, chunk=41.00 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 39750, time=0.787083, dt=1.98969e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 40000, time=0.792027, dt=1.97549e-05, chunk=41.01 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 40250, time=0.796949, dt=1.96509e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 40500, time=0.801848, dt=1.95312e-05, chunk=40.98 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 40750, time=0.806711, dt=1.95167e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 41000, time=0.811578, dt=1.94773e-05, chunk=41.00 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 41250, time=0.816419, dt=1.92487e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 41500, time=0.821238, dt=1.92452e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 41750, time=0.826026, dt=1.90298e-05, chunk=41.00 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 42000, time=0.830787, dt=1.90281e-05, chunk=41.01 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 42250, time=0.835599, dt=1.96016e-05, chunk=40.99 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 42500, time=0.840472, dt=1.93988e-05, chunk=40.98 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 42750, time=0.845368, dt=1.96966e-05, chunk=41.00 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step= 42985, time=0.850000, dt=1.92197e-05, chunk=41.00 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
GPU solve wall time: 1762.466 s (41.002 ms/step)
Final density range: 2.39028490e-01 / 2.16441551e+00
Completed GPU hybrid Configuration 3 at t=0.850000 in 42985 steps.
Final sensor fraction: 0.246578
Saved final state and metadata to results/Riemann2D_Config3_GPU_t03_n512_mn0001.npz
{
  "nx": 512,
